id	cleaned_text	HS	TR	AG
18201	i swear i’m getting to places just in the nick of time it’s exhausting user rt user made your bed, now lie in the flea pit you created 'tourists go home, refugees welcome'  why barcelona chose migrants over visitors	0	0	0
18202	i’m an immigrant — and trump is right on immigration - can you give you insights on this story	0	0	0
18203	i’m going to shock some people here  america is not a america is a even more defined america is a representative republic. in a true...	1	0	1
18204	user we have our own invasion issues with mexicans.	1	0	1
18205	worker charged with sexually molesting eight children at immigrant shelter	0	0	0
18206	un picks refugees for uk, picks mostly syrian muslims	0	0	0
18207	user delhi will be much better under prez rule,than being under this anarchist ,who doesn't believe in conciliatory or consensus building.just wish to follow either my way or no way. have reduced delhi to slum by encouraging squatters,illegal migrant	0	0	0
18208	global compact on migration moves forward user user user user user	0	0	0
18209	"violence toward tourists in barcelona, spain -- ""tourists go home"" "" refugees welcome"". user user"	0	0	0
18210	immigration decline costing uk economy billions, says think thank | the independent -	0	0	0
18211	user user after 20 days in jail the kids of the illigal refugees must get free. than nobody should care to them and give them food. the only chance the whole familiy can go home and leave the usa. and sure it must made a supoer big wall to prote	1	0	1
18212	user this is insane. 125 last weekend. arizona invasion user user	1	0	1
18213	reality nike, he did it, unlike you and all your groupies, never buy your product again, enough is enough, ugly crap you are doing here user user enough already, love my flag 	1	0	0
18214	libyan coast guard rescues some 160 migrants	0	0	0
18215	we need to encourage president trump to keep trying to ban more refugees.	1	0	0
18216	watch  bangladeshi immigrant thinks he is above the law in sweden - free speech time - user	1	0	0
18217	our immigration legal services department is now accepting new clients please call (773) 583-9191 or stop by our office between 10-2 to request an intake appointment	0	0	0
18218	texas woman, 21, dies after falling from moving suv, may have been pushed by illegal alien driverhttps //t.co/3t0ph9hd0s#inourbackyard#buildthewall	0	0	0
18219	"we must reject the ""globalization of indifference"" toward refugees, says the president of the international catholic migration commission."	0	0	0
18220	doesn't have to be a partisan issue. among voters, it already isn't, according to polls. congress has to take notice  people of all political ideologies acknowledge that the u.s. needs to	0	0	0
18221	the un calls on to stop separating immigrant children from parents	0	0	0
18222	lessons from the past  why eastern european nations reject muslim migrants 0/lessons-past-eastern-european-nations-reject-muslim-migrants/ sweden —where rape has increased by 1,472% since embracing “multiculturalism”—is reportedly on the verge of collapse.	0	0	0
18223	grants extra funding to cope with migrant arrivals	0	0	0
18224	user user illegals too god bless america and user	1	0	0
18225	france adopts tough new law on asylum, immigration	1	0	1
18226	tourists go home, refugees welcome'  why barcelona chose migrants over visitors	0	0	0
18227	europe wants centers in africa to vet migrants‘¤ critics say it’s abdicating its responsibilities‘¤	0	0	0
18228	paris suburb aka muslim no go zone home to 300,000 illegal immigrants, report says user	0	0	0
18229	lost - but happy  merkel co. has not realized who the reality really is. poor germany which want go on to love refugees.	1	0	0
18230	user user user refused to help disabled iraq war vet after illegal immigrants stole his id cost him student aid and made him homeless	0	0	0
18231	this is why user looks into returns of both refugees and idps in iraq and elsewhere - human suffering and negative development trajectories go hand in hand here 	0	0	0
18232	user thinking	1	0	1
18233	another immigrant sexual assault case being ignored by the msm.	0	0	0
18234	user 2977 people were murdered by illegal aliens in new york city, washington dc & shanksville pennsylvania on 9/11/01 help memorialize them today visit to help. please	1	0	0
18235	juncker response on migrants a step forward says conte	0	0	0
18236	ice launches new immigration sweeps in l.a. area; at least 100 detained so farhttps //t.co/v3iiymkzi2#againstallenemies	1	0	1
18237	the 8 immigrant boys who were molested while in us custody, was by man who is hiv positive let that sink in  angry face  — looking for compassion	0	0	0
18238	cameron stopped immigrants voting on the eu in or out vote he learned from the scots independence that immigrants can be a negative infeuenc	1	0	1
18239	anti-trump immigration demo crossing brooklyn bridge in new york	0	0	0
18240	search continues for five suspected refugees who fled from lorry	0	0	0
18241	user i have to wonder if he supports another very well known model that happens to be an immigrant and has had some fleshy pictures published in the past.she lives in the whitehouse now. and as far as i can tell is an incredible person. would sh	0	0	0
18242	germany try to deport criminel afghanistan refugees back home. till now they have brought 128 persons back home in 8 special flights.	0	0	0
18243	they are not 'immigrants' they are invaders. user user	1	0	0
18244	trying to connect to your home culture through your immigrant parents is like listening to a bunch of boomers describe what's wrong with america lol	0	0	0
18245	msf to offer health care in evros, as refugee arrivals rise	0	0	0
