id	HS	TR	AG
18201	1	0	0
18202	0	0	0
18203	0	0	0
18204	1	0	0
18205	0	0	0
18206	0	0	0
18207	1	0	0
18208	0	0	0
18209	0	0	0
18210	0	0	0
18211	1	0	0
18212	0	0	0
18213	0	0	0
18214	0	0	0
18215	1	0	0
18216	0	0	0
18217	0	0	0
18218	1	0	0
18219	0	0	0
18220	1	0	0
18221	0	0	0
18222	0	0	0
18223	0	0	0
18224	0	0	0
18225	0	0	0
18226	0	0	0
18227	0	0	0
18228	1	0	0
18229	1	0	0
18230	1	0	0
18231	0	0	0
18232	0	0	0
18233	0	0	0
18234	1	0	0
18235	0	0	0
18236	0	0	0
18237	0	0	0
18238	0	0	0
18239	0	0	0
18240	0	0	0
18241	0	0	0
18242	1	0	0
18243	1	0	0
18244	1	0	0
18245	0	0	0
18246	1	1	0
18247	0	0	0
18248	0	0	0
18249	0	0	0
18250	0	0	0
18251	0	0	0
18252	0	0	0
18253	0	0	0
18254	1	0	0
18255	0	0	0
18256	1	0	0
18257	0	0	0
18258	1	0	0
18259	1	0	0
18260	0	0	0
18261	0	0	0
18262	0	0	0
18263	1	0	0
18264	1	0	0
18265	0	0	0
18266	0	0	0
18267	0	0	0
18268	0	0	0
18269	0	0	0
18270	1	0	0
18271	1	0	0
18272	1	0	0
18273	1	0	0
18274	0	0	0
18275	0	0	0
18276	1	0	0
18277	0	0	0
18278	0	0	0
18279	0	0	0
18280	0	0	0
18281	1	1	0
18282	1	0	0
18283	0	0	0
18284	0	0	0
18285	0	0	0
18286	1	0	0
18287	0	0	0
18288	0	0	0
18289	0	0	0
18290	1	0	0
18291	1	0	0
18292	0	0	0
18293	1	0	0
18294	0	0	0
18295	0	0	0
18296	1	0	0
18297	1	0	0
18298	1	0	0
18299	0	0	0
18300	0	0	0
18301	0	0	0
18302	1	0	0
18303	1	0	0
18304	0	0	0
18305	0	0	0
18306	0	0	0
18307	0	0	0
18308	1	0	0
18309	0	0	0
18310	0	0	0
18311	0	0	0
18312	1	0	0
18313	1	0	0
18314	1	0	0
18315	1	1	0
18316	1	0	0
18317	0	0	0
18318	1	0	0
18319	1	0	0
18320	1	0	0
18321	0	0	0
18322	1	0	0
18323	1	0	0
18324	1	0	0
18325	1	0	0
18326	1	0	0
18327	1	0	0
18328	1	0	0
18329	0	0	0
18330	0	0	0
18331	1	0	0
18332	0	0	0
18333	1	0	0
18334	1	0	0
18335	0	0	0
18336	1	0	0
18337	0	0	0
18338	1	0	0
18339	0	0	0
18340	1	0	0
18341	1	0	0
18342	0	0	0
18343	0	0	0
18344	0	0	0
18345	0	0	0
18346	1	0	0
18347	1	0	0
18348	0	0	0
18349	0	0	0
18350	1	0	0
18351	0	0	0
18352	1	0	0
18353	1	0	0
18354	0	0	0
18355	0	0	0
18356	0	0	0
18357	0	0	0
18358	0	0	0
18359	1	0	0
