id	HS	TR	AG
20005	0	0	0
20006	1	1	1
20011	0	0	0
20019	1	0	0
20033	1	1	1
20039	0	0	0
20046	1	1	1
20047	0	0	0
20063	1	1	1
20101	0	0	0
20111	1	1	1
20124	0	0	0
20127	0	0	0
20138	0	0	0
20142	0	0	0
20148	0	0	0
20161	0	0	0
20162	1	1	1
20175	1	0	0
20188	0	0	0
20210	1	1	1
20213	0	0	0
20232	1	1	1
20241	0	0	0
20255	0	0	0
20265	0	0	0
20288	1	1	1
20302	0	0	0
20303	0	0	0
20305	1	1	1
20307	0	0	0
20315	1	0	1
20337	0	0	0
20340	1	1	1
20341	1	1	0
20353	1	0	1
20370	0	0	0
20376	1	1	1
20399	1	1	1
20400	0	0	0
20414	1	0	1
20429	0	0	0
20430	0	0	0
20451	0	0	0
20458	1	1	1
20464	1	0	1
20496	0	0	0
20511	1	1	1
20516	0	0	0
20526	0	0	0
20536	1	1	1
20539	0	0	0
20552	0	0	0
20565	0	0	0
20573	1	0	1
20579	1	1	1
20584	0	0	0
20590	1	1	1
20591	1	0	0
20603	1	1	1
20612	0	0	0
20617	1	1	1
20620	1	0	0
20623	1	1	1
20644	0	0	0
20650	0	0	0
20652	1	1	1
20657	1	0	1
20686	0	0	0
20711	0	0	0
20717	0	0	0
20720	0	0	0
20737	1	1	1
20738	0	0	0
20741	1	1	1
20747	1	1	1
20748	1	0	1
20749	0	0	0
20750	0	0	0
20751	1	0	1
20794	0	0	0
20800	0	0	0
20803	0	0	0
20813	0	0	0
20814	0	0	0
20819	0	0	0
20824	0	0	0
20833	1	1	1
20835	1	1	1
20837	1	1	1
20861	0	0	0
20865	0	0	0
20872	0	0	0
20873	0	0	0
20918	0	0	0
20922	0	0	0
20928	0	0	0
20933	0	0	0
20935	1	0	1
20940	0	0	0
20942	0	0	0
20943	0	0	0
20946	1	0	0
20951	1	1	0
20952	1	1	1
20953	1	0	1
20981	1	1	1
20986	0	0	0
20990	0	0	0
21015	1	1	1
21034	1	1	1
21044	0	0	0
21050	0	0	0
21066	1	1	1
21072	1	0	1
21076	1	1	1
21077	1	1	1
21081	0	0	0
21100	0	0	0
21104	1	0	1
21116	1	1	1
