id	HS	TR	AG
7317	0	0	0
7428	0	0	0
1894	0	0	0
3395	0	0	0
4832	1	1	0
6030	1	1	1
1650	0	0	0
5770	1	0	0
4454	0	0	0
6000	1	1	0
6740	0	0	0
3734	0	0	0
4559	1	0	0
2279	0	0	0
8685	1	0	0
4247	0	0	0
7239	0	0	0
5740	1	0	0
1660	0	0	0
1025	0	0	0
6035	1	1	1
5502	1	0	0
8761	0	0	0
6022	1	1	1
6717	0	0	0
7497	1	1	0
8388	0	0	0
1036	0	0	0
532	0	0	0
3897	0	0	0
5924	1	1	0
3681	0	0	0
4197	0	0	0
2551	0	0	0
804	0	0	0
3241	0	0	0
2323	0	0	0
7030	0	0	0
7573	0	0	0
2708	0	0	0
4963	1	1	0
6270	1	1	1
2700	1	0	1
5467	1	1	0
5101	1	1	1
5858	0	0	0
7119	0	0	0
2763	0	0	0
3220	0	0	0
2251	1	0	0
4735	1	1	1
1886	0	0	0
3110	0	0	0
6156	1	1	1
8007	1	1	0
687	0	0	0
1315	0	0	0
1263	1	0	0
3801	0	0	0
395	1	0	0
6496	0	0	0
7997	0	0	0
9183	0	0	0
2371	1	0	0
5050	1	0	0
2093	0	0	0
8211	0	0	0
268	0	0	0
3808	0	0	0
7491	0	0	0
1931	0	0	0
5672	0	0	0
4092	0	0	0
4153	0	0	0
4023	0	0	0
5034	0	0	0
7714	0	0	0
5993	1	1	0
2791	0	0	0
9189	1	1	1
5013	0	0	0
2236	0	0	0
996	0	0	0
6841	0	0	0
562	0	0	0
8869	1	1	1
3884	1	0	0
7455	0	0	0
6512	0	0	0
4241	1	0	0
719	0	0	0
4849	1	0	0
6888	0	0	0
2375	0	0	0
5144	1	1	1
7991	1	0	0
8651	1	0	0
8543	1	1	0
495	0	0	0
8393	1	1	0
4245	0	0	0
667	1	0	0
8840	0	0	0
3926	0	0	0
3736	0	0	0
1218	0	0	0
262	1	0	1
3462	1	0	1
323	0	0	0
8797	0	0	0
5730	0	0	0
4697	0	0	0
3538	0	0	0
958	1	0	1
7641	0	0	0
8102	0	0	0
5807	1	0	0
7631	0	0	0
7325	0	0	0
4605	0	0	0
1385	1	0	1
5179	1	1	0
6136	1	1	0
8422	0	0	0
3288	0	0	0
2219	0	0	0
4322	0	0	0
5537	0	0	0
2238	0	0	0
5173	1	0	0
5284	0	0	0
1335	0	0	0
4393	1	0	1
1429	1	0	1
3359	1	0	1
731	1	0	1
5812	1	0	0
297	1	0	1
487	0	0	0
8144	0	0	0
2081	0	0	0
3242	0	0	0
4751	1	0	0
5554	1	0	1
8023	1	1	0
4835	0	0	0
5112	1	1	1
7686	0	0	0
6159	1	1	1
1527	1	0	0
956	0	0	0
255	0	0	0
4959	1	1	0
2556	0	0	0
7893	0	0	0
1604	0	0	0
8244	1	1	0
4757	1	1	0
7618	0	0	0
4527	0	0	0
7435	0	0	0
3710	1	0	1
4812	0	0	0
5945	0	0	0
3372	0	0	0
2698	0	0	0
759	1	0	1
7338	0	0	0
3073	1	0	1
6118	1	0	0
2488	0	0	0
4536	1	0	1
5224	0	0	0
9151	0	0	0
5615	0	0	0
8250	0	0	0
4027	0	0	0
7402	0	0	0
7078	0	0	0
4336	1	0	0
3460	0	0	0
8508	0	0	0
8241	0	0	0
1349	0	0	0
3456	0	0	0
8490	1	1	0
1172	0	0	0
1209	1	0	1
6393	1	1	0
6688	0	0	0
2764	1	1	0
7772	1	1	0
2782	0	0	0
235	0	0	0
2684	1	0	1
5480	1	1	0
8617	0	0	0
1234	1	0	0
7750	0	0	0
4463	0	0	0
6226	1	1	1
2521	1	0	0
533	0	0	0
2596	1	0	1
6309	1	1	0
5324	1	1	0
3843	1	0	1
8055	0	0	0
3718	0	0	0
4077	0	0	0
950	1	0	1
3008	0	0	0
2473	0	0	0
6541	1	0	0
6190	0	0	0
4252	0	0	0
3600	1	0	1
649	0	0	0
2024	1	0	1
1705	1	1	1
8099	0	0	0
6855	1	1	1
7162	0	0	0
4012	1	0	0
4753	1	0	0
1285	0	0	0
4483	1	0	0
1730	1	0	0
4418	1	0	0
7512	0	0	0
6287	0	0	0
1668	0	0	0
409	0	0	0
337	0	0	0
5634	0	0	0
8325	0	0	0
3548	0	0	0
4338	0	0	0
1910	0	0	0
3652	0	0	0
1795	0	0	0
1418	0	0	0
1087	1	0	0
5047	1	0	0
4815	0	0	0
709	1	0	1
5463	1	1	0
9063	1	1	1
9136	1	0	0
5233	1	0	0
6951	1	1	0
8636	1	0	0
415	0	0	0
2434	0	0	0
5410	0	0	0
2085	1	0	0
6751	0	0	0
7468	0	0	0
8879	0	0	0
931	1	0	0
2089	0	0	0
3604	1	0	0
4748	1	1	0
3819	0	0	0
5183	1	1	0
3196	1	0	0
5392	0	0	0
6750	0	0	0
5789	1	0	1
6081	1	0	0
1446	0	0	0
4562	1	0	0
2113	1	0	1
6025	1	1	0
1674	0	0	0
3823	0	0	0
457	0	0	0
8522	1	0	0
8013	0	0	0
3553	0	0	0
3712	0	0	0
269	1	0	1
2833	1	0	1
7149	0	0	0
3578	0	0	0
8458	0	0	0
5834	1	1	0
1577	0	0	0
6057	1	1	1
7953	0	0	0
4231	0	0	0
694	0	0	0
9104	1	0	0
763	1	0	0
544	1	0	0
2058	0	0	0
723	0	0	0
8174	0	0	0
4838	1	1	0
4702	1	1	1
5077	0	0	0
5436	1	1	0
1440	0	0	0
6187	1	1	0
3232	0	0	0
6446	0	0	0
3659	0	0	0
515	1	0	0
4587	0	0	0
7737	0	0	0
3098	1	0	0
2722	0	0	0
4099	1	1	0
6443	1	0	0
5099	1	0	0
1605	1	0	1
7920	0	0	0
5701	1	0	0
2294	1	0	1
5115	1	1	1
6488	1	1	1
5525	0	0	0
6978	0	0	0
8157	1	0	0
5905	1	1	0
3164	0	0	0
7307	0	0	0
5493	0	0	0
7010	1	1	1
7815	0	0	0
4326	1	0	0
2776	0	0	0
3302	0	0	0
8790	0	0	0
3189	0	0	0
6130	1	1	0
4165	0	0	0
4010	0	0	0
8981	0	0	0
5621	0	0	0
5383	1	0	0
2761	1	0	0
3160	1	0	1
7440	0	0	0
1811	0	0	0
5370	1	1	0
5504	1	1	0
5582	0	0	0
9162	0	0	0
4088	1	0	1
5384	0	0	0
6234	1	1	1
8089	0	0	0
1862	0	0	0
1672	0	0	0
7721	0	0	0
3263	1	0	1
7565	0	0	0
1921	1	0	1
3428	1	0	1
3178	1	0	0
2829	0	0	0
6544	0	0	0
5804	1	0	0
3418	0	0	0
9148	0	0	0
6936	0	0	0
2552	1	0	0
1551	0	0	0
231	0	0	0
4040	0	0	0
8700	1	1	0
6240	0	0	0
1949	0	0	0
2523	1	0	0
5012	0	0	0
1142	1	0	0
7304	0	0	0
4590	0	0	0
4232	1	0	1
7235	0	0	0
3424	1	0	0
5937	1	1	1
551	1	0	0
5320	1	1	1
4534	1	0	0
7060	1	0	0
2721	0	0	0
5083	1	1	0
7315	0	0	0
2013	1	0	1
664	1	0	1
8716	0	0	0
4192	0	0	0
6766	1	0	1
8505	1	1	1
7026	1	1	0
5411	1	0	1
2124	0	0	0
7100	0	0	0
5722	1	0	1
7900	0	0	0
6102	1	0	0
7980	0	0	0
5071	1	0	0
6053	0	0	0
9026	0	0	0
7482	0	0	0
6574	1	1	0
8263	1	1	1
8361	0	0	0
7826	0	0	0
3072	1	0	1
4632	0	0	0
8258	1	0	0
4935	1	1	0
8791	1	1	0
309	1	0	0
2496	1	0	1
1016	1	0	1
5026	0	0	0
3119	0	0	0
9030	0	0	0
4895	1	0	0
2980	1	0	0
2068	1	0	1
1005	1	0	0
1598	1	0	1
2593	1	0	1
8371	1	0	0
1284	0	0	0
9065	0	0	0
7872	0	0	0
2006	1	0	0
5368	1	0	0
1174	0	0	0
4567	0	0	0
2504	0	0	0
7820	0	0	0
494	0	0	0
4870	1	0	0
3450	0	0	0
7425	0	0	0
6861	0	0	0
279	0	0	0
338	0	0	0
7791	0	0	0
4005	0	0	0
1089	0	0	0
451	1	0	0
6664	0	0	0
6554	0	0	0
8455	0	0	0
5251	1	0	0
1889	1	0	0
